,model,km_driven,seller_type,transmission,owner,engine,max_power,torque,seats,LPG,CNG,Petrol,Diesel
5146,2017 Maruti Swift Dzire VDI,127000,Individual,Manual,First Owner,1248 CC,74.02 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
5147,2017 Maruti Ertiga SHVS ZDI Plus,70000,Individual,Manual,First Owner,1248 CC,88.5 bhp,200Nm@ 1750rpm,7.0,False,False,False,True
5148,2011 Hyundai i20 1.4 CRDi Sportz,116500,Individual,Manual,First Owner,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5.0,False,False,False,True
5149,2012 Hyundai i20 Sportz 1.2,120000,Individual,Manual,First Owner,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5.0,False,False,True,False
5150,2008 Hyundai Verna Xi (Petrol),100000,Individual,Manual,4+,1599 CC,103.2 bhp,"14.9@ 3,000(kgm@ rpm)",5.0,False,False,True,False
5151,2011 Ford Figo Diesel Titanium,90000,Individual,Manual,Second Owner,1399 CC,68 bhp,160Nm@ 2000rpm,5.0,False,False,False,True
5152,2009 Audi Q7 3.0 TDI Quattro,120000,Individual,Automatic,Third Owner,2967 CC,241.4 bhp,550Nm@ 1750-2750rpm,7.0,False,False,False,True
5153,2017 Tata Hexa XTA,40000,Individual,Automatic,First Owner,2179 CC,153.86 bhp,400Nm@ 1750-2500rpm,7.0,False,False,False,True
5154,2018 Volkswagen Ameo 1.5 TDI Comfortline,18000,Individual,Manual,First Owner,1498 CC,108.62 bhp,250Nm@ 1500-3000rpm,5.0,False,False,False,True
5155,2017 Maruti Vitara Brezza LDi Option,70000,Individual,Manual,1,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,False,False,False,True
5156,2018 Mahindra XUV500 W7 BSIV,29000,Individual,Manual,First Owner,2179 CC,152.87 bhp,360Nm@ 1750-2800rpm,7.0,False,False,False,True
5157,2016 Maruti Baleno Delta 1.2,65755,Individual,Manual,First Owner,1197 CC,83.1 bhp,115Nm@ 4000rpm,5.0,False,False,True,False
5158,2019 Ford EcoSport 1.5 Diesel Titanium BSIV,2600,Individual,Manual,First Owner,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm,5.0,False,False,False,True
5159,2017 Mahindra XUV500 AT W6 2WD,46000,Individual,Automatic,First Owner,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0,False,False,False,True
5160,2017 Hyundai EON Era Plus,15000,Individual,Manual,2,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,False,False,True,False
5161,2014 Maruti Swift Dzire VDI,60000,Individual,Manual,First Owner,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
5162,2017 Maruti Alto K10 VXI AGS Optional,15500,Individual,Automatic,First Owner,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,False,False,True,False
5163,2015 Honda Amaze S i-Dtech,120000,Individual,Manual,First Owner,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,False,False,False,True
5164,2008 Mitsubishi Lancer 2.0 GLd,120000,Individual,Manual,Third Owner,1998 CC,68 bhp,"12.5@ 3,000(kgm@ rpm)",5.0,False,False,False,True
5165,2007 Tata Spacio Gold-10/6 Str BSII,120000,Individual,Manual,3,2956 CC,63 bhp,"18@ 1,600-2,200(kgm@ rpm)",10.0,False,False,False,True
5166,2007 Mahindra Bolero SLX,80000,Individual,Manual,Second Owner,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7.0,False,False,False,True
5167,2019 Mahindra Marazzo M2 BSIV,40000,Individual,Manual,First Owner,1497 CC,121 bhp,300Nm@ 1750-2500rpm,7.0,False,False,False,True
5168,2018 Ford Figo Aspire 1.2 Ti-VCT Trend,15000,Individual,Manual,First Owner,1196 CC,86.8 bhp,112Nm@ 4000rpm,5.0,False,False,True,False
5169,2013 Tata Aria Pride,110000,Individual,Manual,Second Owner,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7.0,False,False,False,True
5170,2014 Toyota Innova 2.5 G (Diesel) 8 Seater,80000,Individual,Manual,2,2494 CC,100.6 bhp,200Nm@ 1400-3400rpm,8.0,False,False,False,True
5171,2017 Renault Duster 110PS Diesel RxL AMT,50000,Individual,Automatic,First Owner,1461 CC,108.45 bhp,245Nm@ 1750rpm,5.0,False,False,False,True
5172,2010 Mahindra Scorpio VLS AT 2.2 mHAWK,110000,Individual,Automatic,First Owner,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0,False,False,False,True
5173,2013 Honda Amaze S i-Dtech,100000,Individual,Manual,First Owner,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,False,False,False,True
5174,2019 Hyundai Verna CRDi 1.6 AT SX Option,20000,Individual,Automatic,First Owner,1582 CC,126.2 bhp,259.87nm@ 1500-3000rpm,5.0,False,False,False,True
5175,2012 Mahindra Bolero 2011-2019 ZLX,135000,Individual,Manual,1,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0,False,False,False,True
5176,2014 Tata Indigo CS LS (TDI) BS-III,50700,Individual,Manual,First Owner,1405 CC,69.01 bhp,135Nm@ 2500rpm,5.0,False,False,False,True
5177,2013 Volkswagen Polo Diesel Highline 1.2L,70000,Individual,Manual,Second Owner,1199 CC,73.9 bhp,180Nm@ 2000rpm,5.0,False,False,False,True
5178,2007 Mercedes-Benz New C-Class 200 K AT,120000,Individual,Automatic,First Owner,1796 CC,178 bhp,"24.5@ 3,500-4,500(kgm@ rpm)",5.0,False,False,True,False
5179,2014 Toyota Innova 2.5 VX (Diesel) 8 Seater,112000,Individual,Manual,Second Owner,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,8.0,False,False,False,True
5180,2018 Hyundai Grand i10 1.2 CRDi Sportz,35000,Individual,Manual,1,1186 CC,73.97 bhp,190.24nm@ 1750-2250rpm,5.0,False,False,False,True
5181,2017 Renault Duster 110PS Diesel RxZ,50000,Individual,Manual,First Owner,1461 CC,108.45 bhp,245Nm@ 1750rpm,5.0,False,False,False,True
5182,2014 Toyota Innova 2.5 GX (Diesel) 7 Seater,121000,Individual,Manual,Third Owner,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7.0,False,False,False,True
5183,2009 Mahindra Scorpio 2009-2014 SLE 7S BSIII,120000,Individual,Manual,Second Owner,2179 CC,120 bhp,290Nm@ 1800-2800rpm,7.0,False,False,False,True
5184,2006 Toyota Corolla H2,90000,Individual,Manual,Third Owner,1794 CC,125 bhp,"16.1@ 4,200(kgm@ rpm)",5.0,False,False,True,False
5185,2014 Maruti Zen Estilo LXI Green (CNG),70000,Individual,Manual,2,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,False,True,False,False
5186,2018 Renault KWID 1.0 RXT Optional,20000,Individual,Manual,First Owner,999 CC,67 bhp,91Nm@ 4250rpm,5.0,False,False,True,False
5187,2015 Renault Duster 85PS Diesel RxL,60000,Individual,Manual,First Owner,1461 CC,83.8 bhp,200Nm@ 1900rpm,5.0,False,False,False,True
5188,2016 BMW 5 Series 520d Luxury Line,40000,Individual,Automatic,First Owner,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5.0,False,False,False,True
5189,2013 Toyota Innova 2.5 VX (Diesel) 7 Seater,440000,Individual,Manual,Second Owner,2494 CC,100.6 bhp,200Nm@ 1400-3400rpm,7.0,False,False,False,True
5190,2017 Mahindra TUV 300 T6 Plus,60000,Individual,Manual,1,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7.0,False,False,False,True
5191,2015 Maruti Wagon R VXI BS IV,110000,Individual,Manual,First Owner,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,False,False,True,False
5192,2016 Hyundai i20 Active 1.4,152000,Individual,Manual,First Owner,1396 CC,88.73 bhp,219.66nm@ 1500-2750rpm,5.0,False,False,False,True
5193,2011 Hyundai i20 1.2 Asta,220000,Individual,Manual,Fourth & Above Owner,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5.0,False,False,True,False
5194,2013 Mahindra Bolero 2011-2019 ZLX BSIII,70000,Individual,Manual,First Owner,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0,False,False,False,True
5195,2018 Tata Nexon 1.2 Revotron XZ Plus,50000,Individual,Manual,1,1198 CC,108.5 bhp,170Nm@ 1750-4000rpm,5.0,False,False,True,False
5196,2011 Maruti Swift Dzire VDi,125000,Individual,Manual,First Owner,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
5197,2016 Ford Figo 1.2P Trend MT,60000,Individual,Manual,First Owner,1196 CC,86.8 bhp,112Nm@ 4000rpm,5.0,False,False,True,False
5198,2014 Maruti Eeco CNG HTR 5-STR,90000,Individual,Manual,First Owner,1196 CC,63 bhp,83Nm@ 3000rpm,5.0,False,True,False,False
5199,2017 Maruti Eeco CNG HTR 5-STR,30000,Individual,Manual,First Owner,1196 CC,63 bhp,83Nm@ 3000rpm,5.0,False,True,False,False
5200,2016 Toyota Innova 2.5 VX (Diesel) 8 Seater,90000,Individual,Manual,1,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,8.0,False,False,False,True
5201,2017 Volkswagen Ameo 1.2 MPI Comfortline,20000,Individual,Manual,First Owner,1198 CC,73.75 bhp,110Nm@ 3750rpm,5.0,False,False,True,False
5202,2012 Maruti Swift VDI,110000,Individual,Manual,Third Owner,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
5203,2012 Volkswagen Vento Diesel Highline,150000,Individual,Manual,Second Owner,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5.0,False,False,False,True
5204,2012 Hyundai i20 1.4 CRDi Sportz,110000,Individual,Manual,First Owner,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5.0,False,False,False,True
5205,2015 Hyundai Creta 1.6 CRDi SX Option,120000,Individual,Manual,2,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0,False,False,False,True
5206,2010 Hyundai Accent Executive CNG,120000,Individual,Manual,Second Owner,1495 CC,93.7 bhp,124.5Nm@ 3500rpm,5.0,False,True,False,False
5207,2012 Tata Sumo GX,80000,Individual,Manual,Fourth & Above Owner,2956 CC,83.8 bhp,250Nm@ 1000-2000rpm,7.0,False,False,False,True
5208,2016 Hyundai i20 Active 1.4 SX,110000,Individual,Manual,First Owner,1396 CC,88.73 bhp,220Nm@ 1500-2750rpm,5.0,False,False,False,True
5209,2015 Tata Zest Revotron 1.2T XMS,40000,Individual,Manual,First Owner,1193 CC,88.7 bhp,140Nm@ 1500-4000rpm,5.0,False,False,True,False
5210,2012 Volkswagen Polo GT TDI,110000,Individual,Manual,2,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5.0,False,False,False,True
5211,2019 Mahindra Scorpio S7 120,20000,Individual,Manual,First Owner,2179 CC,120 bhp,280Nm@ 1800-2800rpm,7.0,False,False,False,True
5212,2013 Ford Figo Diesel Celebration Edition,230000,Individual,Manual,First Owner,1399 CC,68.1 bhp,160Nm@ 2000rpm,5.0,False,False,False,True
5213,2010 Chevrolet Beat LT,60000,Individual,Manual,First Owner,1199 CC,79.4 bhp,108Nm@ 4400rpm,5.0,False,False,True,False
5214,2012 Maruti Zen Estilo LXI BS IV,35000,Individual,Manual,Second Owner,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,False,False,True,False
5215,2015 Hyundai i20 Active Base Petrol,45000,Individual,Manual,1,1197 CC,81.86 bhp,114.73Nm@ 4000rpm,5.0,False,False,True,False
5216,2012 Tata Nano Cx BSIII,45000,Individual,Manual,First Owner,624 CC,38 bhp,51Nm@ 4000+/-500rpm,4.0,False,False,True,False
5217,2016 Tata Zest Revotron 1.2T XM,25000,Individual,Manual,First Owner,1193 CC,88.7 bhp,140Nm@ 1500-4000rpm,5.0,False,False,True,False
5218,2014 Hyundai i20 Magna 1.2,10000,Individual,Manual,First Owner,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0,False,False,True,False
5219,2018 Maruti Wagon R VXI Optional,19000,Individual,Manual,First Owner,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,False,False,True,False
5220,2019 Maruti Baleno Delta 1.2,10000,Individual,Manual,1,1197 CC,83.1 bhp,115Nm@ 4000rpm,5.0,False,False,True,False
5221,2019 Mahindra KUV 100 G80 K2,25000,Individual,Manual,First Owner,1198 CC,82 bhp,115Nm@ 3500-3600rpm,6.0,False,False,True,False
5222,2012 Hyundai i10 Magna 1.2 iTech SE,30000,Individual,Manual,First Owner,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0,False,False,True,False
5223,2014 Mahindra Bolero 2011-2019 SLX 2WD BSIII,90000,Individual,Manual,First Owner,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0,False,False,False,True
5224,2017 Tata Tiago 1.2 Revotron XT,20000,Individual,Manual,First Owner,1199 CC,84 bhp,114Nm@ 3500rpm,5.0,False,False,True,False
5225,2018 Nissan Terrano XL D Option,48000,Individual,Manual,1,1461 CC,83.14 bhp,200Nm@ 1750rpm,5.0,False,False,False,True
5226,2009 Mahindra Scorpio 2006-2009 VLX 2WD 7 Str BSIII,120000,Individual,Manual,First Owner,2179 CC,120 bhp,290Nm@ 1800-2800rpm,7.0,False,False,False,True
5227,2012 Maruti Swift Dzire Ldi BSIV,210000,Individual,Manual,Second Owner,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
5228,2010 Hyundai i10 Magna 1.1L,200400,Individual,Manual,Second Owner,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0,False,False,True,False
5229,2008 Hyundai i10 Magna,110000,Individual,Manual,Second Owner,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0,False,False,True,False
5230,2014 Tata Safari DICOR 2.2 LX 4x2,38000,Individual,Manual,1,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7.0,False,False,False,True
5231,2004 Toyota Corolla AE,90000,Individual,Manual,Second Owner,1794 CC,125 bhp,"16.1@ 4,200(kgm@ rpm)",5.0,False,False,True,False
5232,2017 Maruti Ertiga SHVS ZDI Plus,43000,Individual,Manual,First Owner,1248 CC,88.5 bhp,200Nm@ 1750rpm,7.0,False,False,False,True
5233,2018 Hyundai Santro Asta BSIV,25000,Individual,Manual,First Owner,1086 CC,68 bhp,99Nm@ 4500rpm,5.0,False,False,True,False
5234,2016 Maruti Wagon R VXI BS IV,26000,Individual,Manual,Second Owner,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,False,False,True,False
5235,2006 Hyundai Verna CRDi SX,120000,Individual,Manual,2,1493 CC,110 bhp,"24@ 1,900-2,750(kgm@ rpm)",5.0,False,False,False,True
5236,2008 Maruti Alto LXi,70000,Individual,Manual,Third Owner,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,False,False,True,False
5237,2006 Honda Accord VTi-L MT,60000,Individual,Manual,Third Owner,2354 CC,144 bhp,"20@ 4,700(kgm@ rpm)",5.0,False,False,True,False
5238,2007 Tata New Safari 3L Dicor LX 4x2,120000,Individual,Manual,Second Owner,2956 CC,138.1 bhp,320Nm@ 1700-2700rpm,7.0,False,False,False,True
5239,2016 Maruti Ciaz ZXi,20000,Individual,Manual,First Owner,1373 CC,91.1 bhp,130Nm@ 4000rpm,5.0,False,False,True,False
5240,2013 Tata Indigo CR4,25000,Individual,Manual,1,1396 CC,70 bhp,140Nm@ 1800-3000rpm,5.0,False,False,False,True
5241,2017 Maruti Swift Dzire ZDI Plus,60000,Individual,Manual,First Owner,1248 CC,74.02 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
5242,2008 Tata Sumo EX 10/7 Str BSIII,80000,Individual,Manual,First Owner,1948 CC,68 bhp,"115@ 2,500(kgm@ rpm)",10.0,False,False,False,True
5243,2014 Maruti Omni E MPI STD BS IV,80000,Individual,Manual,First Owner,796 CC,34.2 bhp,59Nm@ 2500rpm,8.0,False,False,True,False
5244,2019 Honda Amaze S i-VTEC,1303,Dealer,Manual,First Owner,1198 CC,86.7 bhp,109Nm@ 4500rpm,5.0,False,False,True,False
5245,2018 Audi Q5 35TDI Premium Plus,31800,Dealer,Automatic,1,1968 CC,188 bhp,400nm@ 1750-3000rpm,5.0,False,False,False,True
5246,2019 Lexus ES 300h,20000,Dealer,Automatic,First Owner,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5.0,False,False,True,False
5247,2017 Jaguar XF 2.0 Diesel Portfolio,45000,Dealer,Automatic,First Owner,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5.0,False,False,False,True
5248,2017 Jeep Wrangler 2016-2019 3.6 4X4,17000,Individual,Automatic,First Owner,3604 CC,280 bhp,347Nm@ 4300rpm,5.0,False,False,True,False
5249,2016 Toyota Camry 2.5 Hybrid,68089,Trustmark Dealer,Automatic,First Owner,2494 CC,157.7 bhp,213Nm@ 4500rpm,5.0,False,False,True,False
5250,2016 Honda Jazz VX,56494,Trustmark Dealer,Manual,1,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0,False,False,True,False
5251,2013 Toyota Innova 2.5 VX (Diesel) 7 Seater,79328,Trustmark Dealer,Manual,Second Owner,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7.0,False,False,False,True
5252,2019 BMW X4 M Sport X xDrive20d,7500,Dealer,Automatic,First Owner,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5.0,False,False,False,True
5253,2019 BMW X4 M Sport X xDrive20d,8500,Dealer,Automatic,First Owner,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5.0,False,False,False,True
5254,2019 Honda Amaze V CVT Petrol BSIV,7032,Trustmark Dealer,Automatic,First Owner,1199 CC,88.76 bhp,110Nm@ 4800rpm,5.0,False,False,True,False
5255,2018 Volvo V40 D3 R-Design,2000,Dealer,Automatic,1,1984 CC,150 bhp,350Nm@ 1500-2750rpm,5.0,False,False,False,True
5256,2019 Mercedes-Benz E-Class Exclusive E 200 BSIV,17000,Dealer,Automatic,First Owner,1991 CC,194.4 bhp,300Nm@ 1600-4000rpm,5.0,False,False,True,False
5257,2019 Land Rover Discovery Sport TD4 SE,21000,Dealer,Automatic,First Owner,1999 CC,148.31 bhp,382nm@ 1750-2250rpm,7.0,False,False,False,True
5258,2017 Mercedes-Benz S-Class S 350 CDI,37000,Dealer,Automatic,First Owner,2987 CC,254.79 bhp,620Nm@ 1600-2400rpm,5.0,False,False,False,True
5259,2018 BMW 5 Series 520d Sport Line,10000,Dealer,Automatic,First Owner,1995 CC,187.74 bhp,400Nm@ 1750-2500rpm,5.0,False,False,False,True
5260,2019 Hyundai Venue SX Plus Turbo DCT BSIV,3500,Dealer,Automatic,1,998 CC,118.35 bhp,171.6Nm@ 1500-4000rpm,5.0,False,False,True,False
5261,2016 Audi A4 35 TDI Premium Plus,46000,Dealer,Automatic,First Owner,1968 CC,187.74 bhp,400Nm@ 1750-3000rpm,5.0,False,False,False,True
5262,2017 Honda CR-V 2.4L 4WD AT AVN,52000,Dealer,Automatic,First Owner,2354 CC,187.4 bhp,226Nm@ 4400rpm,5.0,False,False,True,False
5263,2011 Maruti Swift VXI,20000,Individual,Manual,Second Owner,1197 CC,85.8 bhp,114Nm@ 4000rpm,5.0,False,False,True,False
5264,2019 Tata Tigor 1.2 Revotron XE,25000,Individual,Manual,First Owner,1199 CC,84 bhp,114Nm@ 3500rpm,5.0,False,False,True,False
5265,2006 Maruti Esteem LX - BSIII,70000,Individual,Manual,2,1298 CC,85 bhp,110Nm@ 4500rpm,5.0,False,False,True,False
5266,2014 Mahindra XUV500 W4,40000,Individual,Manual,First Owner,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0,False,False,False,True
5267,2020 Maruti Baleno Delta,7300,Individual,Manual,First Owner,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,False,False,True,False
5268,2018 Maruti Ciaz 1.3 Sigma,25000,Individual,Manual,First Owner,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,False,False,False,True
5269,2010 Maruti Alto LXi,100000,Individual,Manual,First Owner,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,False,False,True,False
5270,2017 Mahindra KUV 100 mFALCON D75 K8,35000,Individual,Manual,1,1198 CC,77 bhp,190Nm@ 1750-2250rpm,6.0,False,False,False,True
5271,2012 Toyota Etios GD,100000,Individual,Manual,First Owner,,,,,False,False,False,True
5272,2013 Hyundai Verna 1.6 SX,80000,Individual,Manual,Second Owner,1582 CC,126.32 bhp,259.8Nm@ 1900-2750rpm,5.0,False,False,False,True
5273,2010 Hyundai i10 Magna,60000,Individual,Manual,First Owner,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0,False,False,True,False
5274,2014 Volkswagen Polo 1.5 TDI Highline,110000,Individual,Manual,Second Owner,1498 CC,88.8 bhp,230Nm@ 1500-2500rpm,5.0,False,False,False,True
5275,2017 Hyundai i20 2015-2017 Magna 1.4 CRDi,70000,Individual,Manual,2,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0,False,False,False,True
5276,2008 Hyundai Santro Xing GL,40000,Individual,Manual,First Owner,1086 CC,62 bhp,96.1Nm@ 3000rpm,5.0,False,False,True,False
5277,2010 Maruti SX4 Green Vxi (CNG),90000,Individual,Manual,Second Owner,1586 CC,103.3 bhp,145Nm@ 4100rpm,5.0,False,True,False,False
5278,2012 Volkswagen Polo GT TDI,95000,Individual,Manual,First Owner,1598 CC,103.6 bhp,250Nm@ 1500-2500rpm,5.0,False,False,False,True
5279,2011 Mahindra Bolero SLX 2WD BSIII,200000,Individual,Manual,Second Owner,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7.0,False,False,False,True
5280,2015 Maruti Swift VDI BSIV,30000,Individual,Manual,1,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
5281,2015 Maruti Swift VDI BSIV,30000,Individual,Manual,First Owner,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
5282,2013 Volkswagen CrossPolo 1.5 TDI,70000,Individual,Manual,Second Owner,1498 CC,88.5 bhp,230Nm@ 1500-2500rpm,5.0,False,False,False,True
5283,2014 Toyota Fortuner 4x2 AT TRD Sportivo,80000,Individual,Automatic,Second Owner,2982 CC,168.7 bhp,360Nm@ 1400-3200rpm,7.0,False,False,False,True
5284,2012 Maruti Swift Dzire VDi,100000,Individual,Manual,Third Owner,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
5285,2017 Maruti Swift Dzire ZDI Plus,70000,Individual,Manual,1,1248 CC,74.02 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
5286,2016 Honda Jazz 1.5 V i DTEC,30000,Individual,Manual,First Owner,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,False,False,False,True
5287,2016 Chevrolet Beat LS,15000,Individual,Manual,First Owner,1199 CC,76.8 bhp,106.5Nm@ 4400rpm,5.0,False,False,True,False
5288,2018 Ford Figo Aspire 1.5 TDCi Titanium,21000,Individual,Manual,First Owner,1498 CC,99 bhp,215Nm@ 1750-3000rpm,5.0,False,False,False,True
5289,2014 Maruti Wagon R VXI 1.2,35000,Individual,Manual,First Owner,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,False,False,True,False
5290,2016 Honda Jazz 1.2 VX i VTEC,25000,Individual,Manual,1,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0,False,False,True,False
5291,2017 Tata Tiago 1.2 Revotron XZ WO Alloy,30000,Individual,Manual,First Owner,1199 CC,84 bhp,114Nm@ 3500rpm,5.0,False,False,True,False
5292,2019 Maruti Swift Dzire VDI,10000,Individual,Manual,First Owner,1248 CC,74.02 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
5293,2013 Hyundai i10 Sportz,40000,Individual,Manual,First Owner,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5.0,False,False,True,False
5294,2014 Hyundai EON Magna Plus,25000,Individual,Manual,First Owner,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,False,False,True,False
5295,2018 Maruti Swift Dzire VDI,15000,Individual,Manual,1,1248 CC,74.02 bhp,190Nm@ 2000rpm,5.0,False,False,False,True
5296,2008 Maruti Alto LXi,70000,Individual,Manual,First Owner,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,False,False,True,False
5297,2018 Hyundai Santro Sportz BSIV,7800,Individual,Manual,First Owner,1086 CC,68 bhp,99Nm@ 4500rpm,5.0,False,False,True,False
5298,2014 Tata Safari Storme LX,55000,Individual,Manual,First Owner,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7.0,False,False,False,True
5299,2016 Tata Tiago 1.2 Revotron XT,30000,Individual,Manual,First Owner,1199 CC,84 bhp,114Nm@ 3500rpm,5.0,False,False,True,False
5300,2013 Mahindra Bolero 2011-2019 SLX,125000,Individual,Manual,2,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0,False,False,False,True
5301,2016 Maruti Swift VXI Deca,50000,Individual,Manual,First Owner,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,False,False,True,False
5302,2017 Ford EcoSport 1.5 TDCi Ambiente BSIV,40000,Individual,Manual,Fourth & Above Owner,1498 CC,98.59 bhp,205Nm@ 1750-3250rpm,5.0,False,False,False,True
5303,2017 Tata Tiago 1.2 Revotron XM Option,30000,Individual,Manual,First Owner,1199 CC,84 bhp,114Nm@ 3500rpm,5.0,False,False,True,False
5304,2016 Chevrolet Beat LT,30000,Individual,Manual,First Owner,1199 CC,76.8 bhp,106.5Nm@ 4400rpm,5.0,False,False,True,False
5305,2009 Maruti Swift Dzire VXi,35000,Individual,Manual,1,1298 CC,85.8 bhp,114Nm@ 4000rpm,5.0,False,False,True,False
5306,2018 Renault Duster Petrol RXS CVT,30000,Individual,Automatic,First Owner,1498 CC,104.5 bhp,142Nm@ 4000rpm,5.0,False,False,True,False
5307,2010 Maruti Wagon R VXI Minor,60000,Individual,Manual,First Owner,1061 CC,67 bhp,84Nm@ 3500rpm,5.0,False,False,True,False
5308,2017 Hyundai Verna 1.6 VTVT S,39000,Individual,Manual,First Owner,1591 CC,121.3 bhp,154.9Nm@ 4200rpm,5.0,False,False,True,False
5309,2019 Renault KWID 1.0 RXT Optional,15000,Individual,Manual,First Owner,999 CC,67 bhp,91Nm@ 4250rpm,5.0,False,False,True,False
5310,2019 Honda Amaze S Petrol BSIV,5000,Individual,Manual,1,1199 CC,88.76 bhp,110Nm@ 4800rpm,5.0,False,False,True,False
5311,2016 Hyundai i10 Magna 1.1L,9750,Individual,Manual,Second Owner,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0,False,False,True,False
5312,2016 Toyota Innova Crysta 2.4 ZX MT BSIV,110000,Individual,Manual,First Owner,2393 CC,147.8 bhp,343Nm@ 1400-2800rpm,7.0,False,False,False,True
5313,2018 Honda WR-V i-VTEC VX,35000,Individual,Manual,First Owner,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0,False,False,True,False
5314,2015 Mahindra XUV500 W6 2WD,10000,Individual,Manual,First Owner,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0,False,False,False,True
5315,2003 Mahindra Scorpio 2.6 SLX Turbo 7 Seater,157138,Individual,Manual,3,2179 CC,120 bhp,290Nm@ 1800-2800rpm,7.0,False,False,False,True
5316,2007 Hyundai Verna CRDi,120000,Individual,Manual,Fourth & Above Owner,1493 CC,110 bhp,"24@ 1,900-2,750(kgm@ rpm)",5.0,False,False,False,True
5317,2008 Hyundai i10 Magna 1.1L,110000,Individual,Manual,Fourth & Above Owner,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0,False,False,True,False
5318,2018 Mahindra XUV500 W9 BSIV,46000,Individual,Manual,First Owner,2179 CC,152.87 bhp,360Nm@ 1750-2800rpm,7.0,False,False,False,True
