,model,selling_price,mileage
3468,2010 Maruti Omni E 8 Str STD,120000,
3469,2009 Hyundai i20 Magna,229999,18.5 kmpl
3470,2017 Honda Amaze i-VTEC Privilege Edition,570000,17.8 kmpl
3471,2014 Hyundai Verna 1.6 SX,575000,22.32 kmpl
3472,2012 Volkswagen Vento Diesel Highline,280000,20.54 kmpl
3473,2015 Hyundai i20 Active 1.4 SX Dual Tone,580000,21.19 kmpl
3474,2018 Maruti Ertiga VDI,875000,25.47 kmpl
3475,2013 Hyundai Verna 1.6 SX CRDi (O),500000,22.32 kmpl
3476,2015 Maruti Ciaz ZDi,700000,26.21 kmpl
3477,2016 Ford Figo 1.2P Titanium MT,388000,18.16 kmpl
3478,2011 Hyundai i10 Sportz,225000,20.36 kmpl
3479,2011 Tata Indigo CS eGLX BS IV,90000,15.64 kmpl
3480,2014 Renault Duster 110PS Diesel RxZ,600000,19.01 kmpl
3481,2009 Hyundai i20 Magna,235000,18.5 kmpl
3482,2011 Hyundai i20 1.4 CRDi Asta,350000,23.0 kmpl
3483,2011 Hyundai i10 Sportz,235000,20.36 kmpl
3484,2010 Maruti Alto LXi,190000,19.7 kmpl
3485,2011 Tata Manza Aura (ABS) Quadrajet BS IV,325000,21.12 kmpl
3486,2007 Hyundai i20 Asta 1.2,550000,18.6 kmpl
3487,2011 Volkswagen Vento Diesel Highline,300000,20.54 kmpl
3488,2017 Tata Tigor 1.2 Revotron XT,550000,20.3 kmpl
3489,2013 Mahindra XUV500 W8 AWD,720000,15.1 kmpl
3490,2011 Nissan Micra XE,110000,18.06 kmpl
3491,2018 Maruti Alto 800 VXI,310000,24.7 kmpl
3492,2010 Maruti Wagon R LXI LPG BSIV,150000,26.2 km/kg
3493,2012 Tata Indica Vista TDI LX,260000,19.4 kmpl
3494,2002 Hyundai Accent GLS,55000,13.2 kmpl
3495,2013 Maruti Swift VDI,450000,22.9 kmpl
3496,2009 Hyundai i10 Sportz Option,199000,20.36 kmpl
3497,2018 Mahindra Scorpio S3 9 Seater BSIV,1000000,15.4 kmpl
3498,2011 Ford Figo Diesel EXI,240000,20.0 kmpl
3499,2018 Renault KWID RXL,350000,25.17 kmpl
3500,2014 Mahindra Bolero 2011-2019 ZLX BSIII,530000,15.96 kmpl
3501,2011 Chevrolet Spark 1.0 LS,150000,18.0 kmpl
3502,2019 Hyundai Elite i20 Magna Plus BSIV,625000,18.6 kmpl
3503,2014 Hyundai Grand i10 Magna,378000,18.9 kmpl
3504,2015 Renault KWID RXT,210000,25.17 kmpl
3505,2018 Maruti Swift Dzire VDI,700000,28.4 kmpl
3506,2011 Hyundai Santro Xing GL Plus,156000,17.92 kmpl
3507,2016 Mahindra Bolero Power Plus ZLX,700000,16.5 kmpl
3508,2010 Maruti Wagon R LXI Minor,194000,18.9 kmpl
3509,2006 Maruti Alto LX,120000,19.7 kmpl
3510,2015 Honda Amaze S AT i-Vtech,415000,15.5 kmpl
3511,2015 Honda Amaze S AT i-Vtech,450000,15.5 kmpl
3512,2014 Honda Brio S MT,325000,19.4 kmpl
3513,2014 Mahindra Bolero 2011-2019 Plus AC,525000,15.96 kmpl
3514,2017 Hyundai EON Magna Plus,265000,21.1 kmpl
3515,2008 Maruti Omni 8 Seater BSII,100000,19.7 kmpl
3516,2017 Jaguar XE 2016-2019 2.0L Diesel Prestige,2711000,13.6 kmpl
3517,2019 Lexus ES 300h,5150000,22.37 kmpl
3518,2017 Jaguar XF 2.0 Diesel Portfolio,3200000,19.33 kmpl
3519,2015 Tata Safari Storme EX,503000,14.1 kmpl
3520,2019 Volvo XC40 D4 Inscription BSIV,3800000,18.0 kmpl
3521,2016 Toyota Camry 2.5 Hybrid,2000000,19.16 kmpl
3522,2013 Maruti Wagon R LXI,225000,21.79 kmpl
3523,2018 Maruti Baleno Alpha 1.3,740000,27.39 kmpl
3524,2016 Honda Jazz VX,550000,18.2 kmpl
3525,2013 Toyota Innova 2.5 VX (Diesel) 7 Seater,750000,12.99 kmpl
3526,2019 Maruti Swift AMT VVT VXI,650000,22.0 kmpl
3527,2017 Toyota Etios VX,625000,16.78 kmpl
3528,2018 Maruti Swift AMT ZXI,600000,22.0 kmpl
3529,2017 Hyundai Grand i10 1.2 CRDi Sportz,450000,24.0 kmpl
3530,2019 BMW X4 M Sport X xDrive20d,5400000,16.78 kmpl
3531,2019 BMW X4 M Sport X xDrive20d,5500000,16.78 kmpl
3532,2019 Honda Amaze V CVT Petrol BSIV,779000,19.0 kmpl
3533,2016 Skoda Rapid 1.6 MPI AT Elegance,645000,14.3 kmpl
3534,2018 Volvo V40 D3 R-Design,2475000,16.8 kmpl
3535,2015 Tata Zest Quadrajet 1.3 XM,400000,23.0 kmpl
3536,2013 Hyundai i20 Magna Optional 1.4 CRDi,345000,21.9 kmpl
3537,2018 Mahindra Thar CRDe,850000,16.55 kmpl
3538,2018 Maruti Ignis 1.2 AMT Zeta BSIV,620000,20.89 kmpl
3539,2018 Maruti Baleno Alpha 1.2,700000,21.4 kmpl
3540,2012 Tata Indica Vista Quadrajet VX,200000,22.3 kmpl
3541,2017 Mahindra Bolero Power Plus LX,660000,16.5 kmpl
3542,2015 Mitsubishi Pajero Sport 4X4,1700000,13.5 kmpl
3543,2009 Tata Indica V2 DLE BSIII,90000,17.88 kmpl
3544,2015 Mahindra XUV500 W6 2WD,1050000,15.1 kmpl
3545,2010 Ford Figo Petrol EXI,160000,15.6 kmpl
3546,2006 Honda Civic 1.8 (E) MT,150000,13.5 kmpl
3547,2010 Maruti Zen Estilo LX BSIV,200000,19.0 kmpl
3548,2011 Toyota Corolla Altis Diesel D4DG,365000,21.43 kmpl
3549,2009 Fiat Punto 1.2 Active,140000,15.7 kmpl
3550,2016 Fiat Avventura Power Up 1.3 Active,360000,20.5 kmpl
3551,2008 Honda City 2017-2020 GXi,200000,17.7 kmpl
3552,2010 Skoda Laura Ambiente,250000,17.5 kmpl
3553,2008 Skoda Laura Ambiente 1.9 PD,229999,17.5 kmpl
3554,2011 Ford Fiesta 1.4 ZXi TDCi ABS,320000,17.8 kmpl
3555,2003 Hyundai Santro Xing XS eRLX Euro II,85000,
3556,2018 Hyundai Creta 1.6 SX,1200000,15.8 kmpl
3557,2018 Maruti Baleno Zeta Automatic,740000,21.4 kmpl
3558,2013 Hyundai i20 Magna Optional 1.4 CRDi,345000,21.9 kmpl
3559,2019 Maruti Ignis 1.2 AMT Zeta BSIV,570000,20.89 kmpl
3560,2019 Maruti Wagon R VXI 1.2,490000,20.52 kmpl
3561,2013 Tata Indigo CR4,250000,23.57 kmpl
3562,2017 Maruti Wagon R AMT VXI,430000,20.51 kmpl
3563,2014 Hyundai EON Era,225000,21.1 kmpl
3564,2018 Mahindra Thar CRDe,850000,16.55 kmpl
3565,2018 Maruti Ignis 1.2 AMT Zeta BSIV,620000,20.89 kmpl
3566,2014 Hyundai i20 Sportz 1.4 CRDi,440000,22.54 kmpl
3567,2016 Maruti Vitara Brezza ZDi Plus Dual Tone,800000,24.3 kmpl
3568,2018 Maruti Baleno Alpha 1.2,700000,21.4 kmpl
3569,2016 Maruti Swift VDI Optional,600000,25.2 kmpl
3570,2012 Tata Indica Vista Quadrajet VX,200000,22.3 kmpl
3571,2017 Mahindra Bolero Power Plus LX,660000,16.5 kmpl
3572,2015 Mitsubishi Pajero Sport 4X4,1700000,13.5 kmpl
3573,2015 Hyundai Grand i10 CRDi Sportz,450000,24.0 kmpl
3574,2013 Maruti Swift Dzire VDI,420000,23.4 kmpl
3575,2011 Toyota Innova 2.5 EV PS 8 STR BSIV,500000,12.8 kmpl
3576,2016 Tata Tiago 1.2 Revotron XZ,350000,23.84 kmpl
3577,2014 Mahindra Xylo D2 BSIV,280000,14.0 kmpl
3578,2013 Renault Duster 85PS Diesel RxL Optional with Nav,425000,20.45 kmpl
3579,2013 Hyundai i10 Magna,295000,20.36 kmpl
3580,2016 Maruti Swift VXI Optional,540000,20.4 kmpl
3581,2017 Maruti Swift Dzire ZDI,754000,28.4 kmpl
3582,2011 Toyota Innova 2.5 GX 8 STR BSIV,650000,12.8 kmpl
3583,2011 Toyota Innova 2.5 VX 7 STR,550000,12.8 kmpl
3584,2011 Toyota Innova 2.5 V Diesel 7-seater,550000,12.8 kmpl
3585,2019 Ford Figo 1.2P Titanium MT,675000,18.16 kmpl
3586,2018 Ford Freestyle Titanium Plus Diesel,700000,23.8 kmpl
3587,2018 Ford Freestyle Titanium Diesel,795000,23.8 kmpl
3588,2010 Toyota Innova 2.5 VX 7 STR,515000,12.8 kmpl
3589,2018 Mahindra KUV 100 G80 K4 Plus,450000,18.15 kmpl
3590,2008 Hyundai Getz 1.1 GVS,155000,15.0 kmpl
3591,2011 Toyota Etios VXD,350000,23.59 kmpl
3592,2011 Ford Figo Diesel Titanium,250000,20.0 kmpl
3593,2011 Hyundai Verna 1.6 SX,450000,22.32 kmpl
3594,2011 Hyundai Verna 1.6 SX,450000,22.32 kmpl
3595,2003 Maruti 800 EX BSII,55599,16.1 kmpl
3596,2014 Hyundai i20 Sportz 1.4 CRDi,420000,22.54 kmpl
3597,2012 Toyota Etios Liva GD SP,315000,
3598,2018 Maruti S-Cross 2017-2020 Alpha DDiS 200 SH,750000,25.1 kmpl
3599,2020 Datsun GO T Option,450000,19.02 kmpl
3600,2008 Maruti Swift Vdi BSIII,175000,17.8 kmpl
3601,2019 Hyundai i20 Active SX Petrol,650000,17.19 kmpl
3602,2018 Maruti Ertiga ZDI Plus,1050000,25.47 kmpl
3603,2011 Hyundai Verna 1.6 SX CRDi (O),375000,22.32 kmpl
3604,2014 Hyundai Santa Fe 2WD MT,1100000,14.74 kmpl
3605,2019 Mahindra XUV500 W11 BSIV,1550000,15.1 kmpl
3606,2017 Ford Figo Aspire 1.5 TDCi Sports Edition,620000,24.29 kmpl
3607,2017 Jeep Compass 2.0 Limited 4X4,1511000,16.3 kmpl
3608,2003 Maruti Wagon R LXI,135000,18.9 kmpl
3609,2011 Hyundai Verna 1.6 SX CRDi (O),375000,22.32 kmpl
3610,2019 Renault KWID RXL,320000,25.17 kmpl
3611,2019 Mahindra XUV500 W11 AT BSIV,1650000,15.1 kmpl
3612,2016 Maruti Alto K10 VXI,320000,23.95 kmpl
3613,2012 Maruti Swift Dzire Zdi BSIV,400000,19.3 kmpl
3614,2015 Mahindra XUV500 AT W10 FWD,900000,16.0 kmpl
3615,2018 Maruti Alto 800 LXI,310000,24.7 kmpl
3616,2018 Tata Nexon 1.2 Revotron XM,595000,17.0 kmpl
3617,2017 Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,800000,23.65 kmpl
3618,2013 Mahindra Verito 1.6 G6 Executive BSIII,350000,13.87 kmpl
3619,2013 Tata Indica Vista TDI LX,275000,19.1 kmpl
3620,2019 Maruti Eeco 5 Seater AC BSIV,420000,15.37 kmpl
3621,2008 Hyundai Verna CRDi SX ABS,250000,18.1 kmpl
3622,2007 Maruti Swift Ldi BSIV,250000,17.8 kmpl
3623,2008 Mahindra Scorpio VLX 2WD BSIII,290000,12.05 kmpl
3624,2016 Hyundai Xcent 1.2 Kappa AT SX Option,525000,16.9 kmpl
3625,2008 Mahindra Scorpio LX 2.6 Turbo,250000,10.5 kmpl
3626,2007 Hyundai Santro Xing XL,90000,
3627,2017 Maruti Celerio VXI,430000,23.1 kmpl
3628,2017 Maruti Baleno Zeta 1.2,630000,21.4 kmpl
3629,2018 Tata Tigor 1.2 Revotron XZ Option,550000,20.3 kmpl
3630,2019 Maruti Swift VDI,630000,28.4 kmpl
3631,2018 Mahindra TUV 300 Plus P4 BSIV,850000,18.49 kmpl
3632,2011 Mahindra Bolero SLX 2WD,455000,13.6 kmpl
3633,2011 Mahindra Bolero SLX 2WD,445000,13.6 kmpl
3634,2013 Hyundai i20 Sportz 1.4 CRDi,370000,21.9 kmpl
3635,2016 Hyundai Grand i10 Sportz,500000,18.9 kmpl
3636,2005 Tata Indica DLS,95000,
3637,2012 Tata Indica Vista TDI LX,140000,19.4 kmpl
3638,2019 Maruti Swift VXI,550000,21.21 kmpl
3639,2017 Renault KWID 1.0 RXT Optional,300000,23.01 kmpl
3640,2011 Tata Indigo CS eLX BS IV,150000,23.03 kmpl
3641,2011 Maruti Wagon R VXI BS IV,229999,18.9 kmpl
3642,2017 Mahindra Scorpio Intelli Hybrid S6 Plus,880000,15.4 kmpl
3643,2011 Toyota Fortuner 3.0 Diesel,900000,11.5 kmpl
3644,2015 Mahindra Scorpio S2 9 Seater,720000,15.4 kmpl
3645,2016 Hyundai i20 Magna 1.4 CRDi,550000,22.54 kmpl
3646,2015 Mahindra Scorpio S2 9 Seater,720000,15.4 kmpl
3647,2006 Hyundai Santro Xing XL,70000,
3648,2016 Maruti Swift VDI BSIV,535000,25.2 kmpl
3649,2015 Hyundai Xcent 1.1 CRDi Base,320000,24.4 kmpl
3650,2015 Hyundai i20 Sportz Option 1.4 CRDi,500000,22.54 kmpl
3651,2014 Maruti Ertiga VDI,525000,20.77 kmpl
3652,2019 Renault KWID 1.0 RXT BSIV,220000,23.01 kmpl
3653,2018 Tata Tiago 1.2 Revotron XT,350000,23.84 kmpl
3654,2016 Mahindra TUV 300 mHAWK100 T8,530000,18.49 kmpl
3655,2013 Maruti Alto 800 LXI,215000,22.74 kmpl
3656,2012 Volkswagen Vento Diesel Highline,335000,20.54 kmpl
3657,2015 Hyundai Xcent 1.1 CRDi Base,320000,24.4 kmpl
3658,2011 Ford Figo Diesel LXI,135000,20.0 kmpl
3659,2009 Maruti A-Star Vxi,175000,19.0 kmpl
3660,2017 Mahindra Bolero 2011-2019 ZLX,800000,15.96 kmpl
3661,2007 Tata Indica GLS BS IV,78000,15.3 kmpl
3662,2014 Honda City i VTEC VX,565000,17.4 kmpl
3663,2017 Hyundai i20 2015-2017 Sportz 1.4 CRDi,575000,22.54 kmpl
3664,2014 Hyundai EON Era Plus,170000,21.1 kmpl
3665,2014 Maruti Alto 800 VXI,250999,22.74 kmpl
3666,2015 Mahindra XUV500 W10 2WD,950000,16.0 kmpl
3667,2014 Honda City i VTEC E,650000,17.8 kmpl
3668,2013 Tata Safari Storme EX,550000,14.0 kmpl
3669,2010 Toyota Innova 2.5 E Diesel PS 7-Seater,650000,12.8 kmpl
3670,2013 Mahindra XUV500 W8 4WD,800000,15.1 kmpl
3671,2020 Maruti Alto 800 VXI,250999,22.05 kmpl
3672,2013 Maruti Alto 800 LXI,170000,22.74 kmpl
3673,2013 Tata Indigo CS LE (TDI) BS-III,250000,19.09 kmpl
3674,2014 Chevrolet Enjoy Petrol LS 7 Seater,312000,13.7 kmpl
3675,2014 Maruti Alto 800 LXI,250000,22.74 kmpl
3676,2013 Hyundai EON Magna Plus,200000,21.1 kmpl
3677,2016 Mahindra Scorpio S2 7 Seater,670000,15.4 kmpl
3678,2017 Hyundai EON D Lite Plus,270000,21.1 kmpl
3679,2012 Mahindra Bolero 2011-2019 SLX,360000,15.96 kmpl
3680,2018 Maruti Swift VDI,630000,28.4 kmpl
3681,2003 Maruti 800 EX BSII,55599,16.1 kmpl
3682,2018 Mahindra Supro LX 8 Str,400000,23.5 kmpl
3683,2014 Hyundai i20 Sportz 1.4 CRDi,420000,22.54 kmpl
3684,2018 Maruti Ciaz 1.4 Alpha,764000,20.73 kmpl
3685,2019 Mahindra Bolero 2011-2019 SLE,710000,15.96 kmpl
3686,2018 Tata Hexa XT,1575000,17.6 kmpl
3687,2018 Force One SX ABS 7 Seating,1050000,17.0 kmpl
3688,2019 Maruti XL6 Alpha,1000000,19.01 kmpl
3689,2017 Maruti SX4 S Cross 2015-2017 DDiS 200 Sigma,650000,23.65 kmpl
3690,2015 Ford EcoSport 1.5 TDCi Titanium BSIV,600000,22.77 kmpl
3691,2016 Mahindra TUV 300 T8,509999,18.49 kmpl
3692,2017 Hyundai Xcent 1.2 Kappa SX Option,610000,19.1 kmpl
3693,2017 Maruti Alto 800 VXI,310000,24.7 kmpl
3694,2016 Mahindra Bolero 2011-2019 ZLX BSIII,720000,15.96 kmpl
3695,2012 Tata Indigo eCS LS TDI BSIII,158000,19.09 kmpl
3696,2011 Tata Indigo LS,175000,17.0 kmpl
3697,2010 Maruti Ritz VDi,217000,21.1 kmpl
3698,2013 Honda Amaze VX i-DTEC,484999,25.8 kmpl
3699,2012 Toyota Etios Liva GD SP,315000,
3700,2016 Hyundai Xcent 1.1 CRDi SX,550000,24.4 kmpl
3701,2012 Maruti Swift ZXI,280000,18.6 kmpl
3702,2013 Ford Classic 1.6 Duratec LXI,350000,14.09 kmpl
3703,2017 Mahindra XUV500 W10 2WD,1150000,16.0 kmpl
3704,2016 Hyundai Grand i10 Magna,420000,18.9 kmpl
3705,2017 Maruti Ciaz 1.4 Alpha,810000,20.73 kmpl
3706,2011 Hyundai i20 1.2 Sportz,290000,17.0 kmpl
3707,2012 Chevrolet Beat LT,180000,18.6 kmpl
3708,2010 Maruti Eeco 5 Seater AC BSIV,160000,15.37 kmpl
3709,2017 Tata Nano XE,66000,23.9 kmpl
3710,2015 Maruti Wagon R Stingray VXI,369000,20.51 kmpl
3711,2012 Tata New Safari DICOR 2.2 VX 4x2 BS IV,300000,13.93 kmpl
3712,2008 Mahindra Bolero PLUS AC,350000,13.6 kmpl
3713,2008 Hyundai i10 Asta Sunroof AT,220000,19.2 kmpl
3714,2005 Chevrolet Tavera B3 LT L1 10 Seats BSIII,160000,14.8 kmpl
3715,2009 Maruti Swift Ldi BSIV,221000,17.8 kmpl
3716,2017 Tata Zest Revotron 1.2 XT,400000,17.57 kmpl
3717,2004 Toyota Camry V4 (MT),250000,13.4 kmpl
3718,2011 Mahindra Bolero DI BSIII,390000,13.6 kmpl
3719,2012 Maruti Eeco 5 Seater AC BSIV,190000,15.37 kmpl
3720,2017 Renault KWID RXT,300000,25.17 kmpl
3721,2017 Hyundai i20 1.4 Asta Dual Tone,750000,22.54 kmpl
3722,2016 Maruti Swift Dzire VDI,650000,26.59 kmpl
3723,2018 Honda Amaze i-VTEC Privilege Edition,635000,17.8 kmpl
3724,2013 Hyundai Verna 1.6 SX,520000,22.32 kmpl
3725,2020 Mahindra Scorpio S11 4WD BSIV,1500000,16.36 kmpl
3726,2012 Hyundai Verna 1.6 SX CRDi (O),415000,22.32 kmpl
3727,2019 Hyundai Elite i20 Diesel Sportz,700000,22.54 kmpl
3728,2017 Maruti Swift LXI,484999,21.21 kmpl
3729,2007 Ford Fiesta 1.4 Durasport EXI,120000,16.6 kmpl
3730,2014 Hyundai EON Era Plus,220000,21.1 kmpl
3731,2014 Hyundai i10 Magna,320000,20.36 kmpl
3732,2011 Maruti Swift VDI,375000,22.9 kmpl
3733,2012 Hyundai Verna 1.6 SX CRDi (O),440000,22.32 kmpl
3734,2019 Hyundai Grand i10 1.2 Kappa Magna AT,550000,18.9 kmpl
3735,2017 Maruti Swift ZDI BSIV,640000,25.2 kmpl
3736,2014 Toyota Etios GD,420000,23.59 kmpl
3737,2016 Hyundai Grand i10 CRDi Sportz,330000,24.0 kmpl
3738,2019 Volkswagen Ameo 1.5 TDI Highline Plus,800000,21.66 kmpl
3739,2011 Maruti Wagon R LXI BS IV,240000,18.9 kmpl
3740,2016 Mahindra KUV 100 mFALCON D75 K2 Plus,360000,25.32 kmpl
3741,2017 Hyundai Verna 1.6 CRDi SX,750000,23.9 kmpl
3742,2017 Hyundai i20 1.2 Magna Executive,570000,18.6 kmpl
3743,2015 Toyota Etios Liva GD,450000,23.59 kmpl
3744,2016 Maruti Ritz LXi,270000,18.5 kmpl
3745,2012 Maruti Ertiga VDI,459999,20.77 kmpl
3746,2015 Maruti Alto K10 VXI,240000,23.95 kmpl
3747,2012 Renault Duster 110PS Diesel RxZ,320000,19.01 kmpl
3748,2011 Tata Manza Aura (ABS) Quadrajet BS IV,149000,21.12 kmpl
3749,2018 Mahindra Scorpio S11 BSIV,1500000,16.36 kmpl
3750,2011 Hyundai Accent Executive,180000,16.36 kmpl
3751,2012 Hyundai Santro Xing GLS LPG,185000,13.45 km/kg
3752,2008 Maruti 800 AC,65000,16.1 kmpl
3753,2010 Tata Indigo LX,130000,17.0 kmpl
3754,2012 Ford Fiesta Classic 1.4 Duratorq CLXI,330000,17.8 kmpl
3755,2011 Tata Manza Aura (ABS) Quadrajet,190000,18.8 kmpl
3756,2014 Maruti Swift VDI,501000,22.9 kmpl
3757,2017 Honda Amaze S i-DTEC,600000,25.8 kmpl
3758,2012 Mahindra XUV500 W8 4WD,570000,15.1 kmpl
3759,2015 Honda Amaze VX O iDTEC,450000,25.8 kmpl
3760,2011 Toyota Etios 1.5 V,285000,16.78 kmpl
3761,2014 Maruti Swift VDI,490000,28.4 kmpl
3762,2014 Maruti Swift VDI,500000,28.4 kmpl
3763,2016 Hyundai EON Magna Plus,275000,21.1 kmpl
3764,2017 Tata Tiago XT,440000,23.84 kmpl
3765,2018 Hyundai i20 1.4 Asta Option,825000,22.54 kmpl
3766,2012 Toyota Etios Liva 1.4 GD,411000,23.59 kmpl
3767,2013 Maruti Swift Dzire VDI,470000,26.59 kmpl
3768,2013 Maruti Swift VDI,445000,28.4 kmpl
3769,2017 Maruti Baleno Zeta Diesel,752000,27.39 kmpl
3770,2016 Skoda Rapid 1.5 TDI Style Plus Black Package,650000,21.14 kmpl
3771,2013 Maruti Swift VDI,450000,28.4 kmpl
3772,2011 Honda City 1.5 V MT,350000,17.0 kmpl
3773,2012 Maruti Swift VVT VXI,511000,22.0 kmpl
3774,2016 Maruti Baleno Zeta 1.3,700000,27.39 kmpl
3775,2016 Toyota Innova Crysta 2.8 ZX AT BSIV,1800000,11.36 kmpl
3776,2018 Ford Figo Aspire 1.2 Ti-VCT Trend,550000,18.16 kmpl
3777,2007 Ford Fiesta 1.4 Duratec EXI Limited Edition,142000,16.6 kmpl
3778,2012 Tata New Safari DICOR 2.2 VX 4x2,725000,13.93 kmpl
3779,2017 Hyundai i20 1.2 Asta Option,630000,18.6 kmpl
3780,2015 Hyundai i20 Sportz 1.2,480000,18.6 kmpl
3781,2016 Maruti Alto K10 VXI,330000,23.95 kmpl
3782,2017 Maruti Gypsy King Soft Top MPI BSIV,500000,11.96 kmpl
3783,2012 Volkswagen Polo Diesel Highline 1.2L,300000,22.07 kmpl
3784,2015 Tata Zest Quadrajet 1.3 XM,400000,23.0 kmpl
3785,2011 Tata Safari DICOR 2.2 EX 4x2,320000,13.93 kmpl
3786,2008 Hyundai i10 Magna 1.1L,180000,19.81 kmpl
3787,2016 Maruti Baleno Sigma 1.3,530000,27.39 kmpl
3788,2015 Mahindra Bolero 2011-2019 Special Edition,600000,15.96 kmpl
3789,2017 Maruti Ertiga SHVS ZDI,780000,24.52 kmpl
3790,2016 Honda City i DTec SV,700000,26.0 kmpl
3791,2013 Chevrolet Beat Diesel,175000,25.44 kmpl
3792,2017 Mahindra Bolero Power Plus SLE,735000,16.5 kmpl
3793,2013 Toyota Etios Liva GD,325000,23.59 kmpl
3794,2006 Chevrolet Tavera LS B3 10 Seats BSII,225000,14.8 kmpl
3795,2015 Tata Zest Quadrajet 1.3 XM,350000,23.0 kmpl
3796,2006 Maruti Wagon R LXI DUO BSIII,110000,17.3 km/kg
3797,2007 Maruti Zen Estilo LXI BSIII,85000,18.2 kmpl
3798,2006 Toyota Corolla AE,150000,13.4 kmpl
3799,2009 Maruti Swift Dzire VDi,225000,19.3 kmpl
3800,2010 Tata Indica Vista Terra Quadrajet 1.3L,111000,18.0 kmpl
3801,2007 Maruti Wagon R VXI Minor,150000,18.9 kmpl
3802,2017 Hyundai EON Era Plus,300000,21.1 kmpl
3803,2015 Mahindra Scorpio 1.99 S6 Plus,630000,15.4 kmpl
3804,2011 Hyundai i10 Era,206000,19.81 kmpl
3805,2006 Maruti Wagon R LXI,70000,18.9 kmpl
3806,2019 Hyundai Grand i10 1.2 Kappa Magna AT,567000,18.9 kmpl
3807,2005 Maruti Wagon R LXI,65000,18.9 kmpl
3808,2016 Maruti Swift Dzire VDI,550000,26.59 kmpl
3809,2010 Hyundai i10 Magna,140000,20.36 kmpl
3810,2016 Renault KWID RXT,300000,25.17 kmpl
3811,2013 Ford EcoSport 1.5 Ti VCT MT Titanium BSIV,500000,15.85 kmpl
3812,2015 Hyundai Grand i10 Sportz,400000,18.9 kmpl
3813,2011 Maruti Swift VDI BSIV,340000,
3814,2012 Toyota Innova 2.5 GX 8 STR,850000,12.8 kmpl
3815,2014 Maruti Swift VDI BSIV,570000,25.2 kmpl
3816,2017 Maruti Swift Dzire VDI,699000,28.4 kmpl
3817,2013 Honda Brio Exclusive Edition,355000,19.4 kmpl
3818,2016 Maruti Swift Dzire VDI Optional,690000,26.59 kmpl
3819,2006 Ford Fiesta 1.4 Duratorq ZXI,180000,17.8 kmpl
3820,2013 Tata Indica Vista TDI LX,200000,19.4 kmpl
3821,2012 Mahindra Scorpio VLX 2WD AIRBAG AT BSIV,575000,12.05 kmpl
3822,2014 Toyota Etios Liva GD,415000,23.59 kmpl
3823,2012 Hyundai i10 Magna LPG,350000,19.2 km/kg
3824,2017 Hyundai EON D Lite Plus,350000,21.1 kmpl
3825,2017 Toyota Platinum Etios 1.4 GD,632000,23.59 kmpl
3826,2014 Maruti Eeco CNG 5 Seater AC BSIV,325000,21.94 km/kg
3827,2013 Hyundai Elantra SX,511000,16.3 kmpl
3828,2010 Honda City 1.5 V MT,300000,17.0 kmpl
3829,2005 Maruti Wagon R LXI,70000,18.9 kmpl
3830,2008 Hyundai i10 Sportz 1.1L,180000,19.81 kmpl
3831,2017 Jaguar XE 2016-2019 2.0L Diesel Prestige,2711000,13.6 kmpl
3832,2019 Lexus ES 300h,5150000,22.37 kmpl
3833,2017 Jaguar XF 2.0 Diesel Portfolio,3200000,19.33 kmpl
3834,2015 Tata Safari Storme EX,503000,14.1 kmpl
3835,2019 Volvo XC40 D4 Inscription BSIV,3800000,18.0 kmpl
3836,2016 Toyota Camry 2.5 Hybrid,2000000,19.16 kmpl
3837,2013 Maruti Wagon R LXI,225000,21.79 kmpl
3838,2018 Maruti Baleno Alpha 1.3,740000,27.39 kmpl
3839,2016 Honda Jazz VX,550000,18.2 kmpl
3840,2013 Toyota Innova 2.5 VX (Diesel) 7 Seater,750000,12.99 kmpl
3841,2019 Maruti Swift AMT VVT VXI,650000,22.0 kmpl
3842,2017 Toyota Etios VX,625000,16.78 kmpl
3843,2018 Maruti Swift AMT ZXI,600000,22.0 kmpl
3844,2017 Hyundai Grand i10 1.2 CRDi Sportz,450000,24.0 kmpl
3845,2019 BMW X4 M Sport X xDrive20d,5400000,16.78 kmpl
3846,2019 BMW X4 M Sport X xDrive20d,5500000,16.78 kmpl
3847,2019 Honda Amaze V CVT Petrol BSIV,779000,19.0 kmpl
3848,2016 Skoda Rapid 1.6 MPI AT Elegance,645000,14.3 kmpl
3849,2018 Volvo V40 D3 R-Design,2475000,16.8 kmpl
3850,2017 Hyundai i20 1.2 Asta,730000,18.6 kmpl
3851,2014 Maruti Ertiga VDI,450000,20.77 kmpl
3852,2012 Hyundai Sonata 2.4 GDi MT,550000,13.44 kmpl
3853,2017 Maruti Wagon R LXI CNG,420000,26.6 km/kg
3854,2016 Toyota Etios GD,509999,23.59 kmpl
3855,2015 Toyota Innova 2.5 G (Diesel) 7 Seater,905000,12.99 kmpl
3856,2010 Maruti Swift VDI BSIV,240000,
3857,2011 Maruti Alto LX,140000,19.7 kmpl
3858,2006 Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,300000,12.8 kmpl
3859,2015 Maruti Ritz LXi,300000,18.5 kmpl
3860,2010 Maruti Swift Dzire VDi,225000,19.3 kmpl
3861,2015 Toyota Innova 2.5 G (Diesel) 8 Seater,860000,12.99 kmpl
3862,2012 Renault Duster 85PS Diesel RxL Optional,400000,20.46 kmpl
